ano,municipio,produto,quantidade_produzida_t,temp_media_anual,temp_max_anual,temp_min_anual,precipitacao_total_anual_mm,eto_total_anual_mm,vento_medio_anual,gdd_total_anual,deficit_hidrico_total_anual_mm,indice_stress_medio_anual,amplitude_termica_media_anual,dias_temp_otima_total_anual
2013,JUAZEIRO,Manga,210236,27.137605606758836,38.4,16.5,311.6,2276.95,22.44831605222734,205.651267281106,-1965.35,84.87670522827949,15.416666666666666,255.78738233163688
2013,JUAZEIRO,Uva,27940,27.137605606758836,38.4,16.5,311.6,2276.95,22.44831605222734,205.651267281106,-1965.35,84.87670522827949,15.416666666666666,255.78738233163688
2014,JUAZEIRO,Manga,55380,26.353959293394777,37.2,17.9,289.59999999999997,2158.91,22.974942396313363,196.2475115207373,-1869.31,85.61179370216136,14.799999999999999,276.63354256246504
2014,JUAZEIRO,Uva,39400,26.353959293394777,37.2,17.9,289.59999999999997,2158.91,22.974942396313363,196.2475115207373,-1869.31,85.61179370216136,14.799999999999999,276.63354256246504
2015,JUAZEIRO,Manga,44730,27.273674475166413,37.8,17.3,270.3,2344.09,22.498347414234512,207.28409370199694,-2073.79,87.76018823278162,14.891666666666666,254.2402779274284
2015,JUAZEIRO,Uva,39400,27.273674475166413,37.8,17.3,270.3,2344.09,22.498347414234512,207.28409370199694,-2073.79,87.76018823278162,14.891666666666666,254.2402779274284
2016,JUAZEIRO,Manga,108900,27.32182054134223,37.8,17.9,265.4,2343.42,22.277180818193056,207.86184649610678,-2078.02,89.71046645164347,15.583333333333334,247.70859558249623
2016,JUAZEIRO,Uva,39400,27.32182054134223,37.8,17.9,265.4,2343.42,22.277180818193056,207.86184649610678,-2078.02,89.71046645164347,15.583333333333334,247.70859558249623
2017,JUAZEIRO,Manga,144770,26.69577956989247,36.5,17.4,309.0,2190.14,24.7093509984639,200.34935483870967,-1881.14,85.63961884609574,14.174999999999999,261.299015373735
2017,JUAZEIRO,Uva,32000,26.69577956989247,36.5,17.4,309.0,2190.14,24.7093509984639,200.34935483870967,-1881.14,85.63961884609574,14.174999999999999,261.299015373735
2018,JUAZEIRO,Manga,148368,26.47918970814132,36.5,17.9,429.20000000000005,2088.54,22.701099590373786,197.75027649769584,-1659.34,77.26358816087118,14.241666666666667,280.8477114004237
2018,JUAZEIRO,Uva,33500,26.47918970814132,36.5,17.9,429.20000000000005,2088.54,22.701099590373786,197.75027649769584,-1659.34,77.26358816087118,14.241666666666667,280.8477114004237
2019,JUAZEIRO,Manga,179353,27.354055939580135,37.6,16.8,459.7,2269.61,23.211684587813618,208.2486712749616,-1809.91,78.81418931255018,14.891666666666666,252.30398635880715
2019,JUAZEIRO,Uva,43282,27.354055939580135,37.6,16.8,459.7,2269.61,23.211684587813618,208.2486712749616,-1809.91,78.81418931255018,14.891666666666666,252.30398635880715
2020,JUAZEIRO,Manga,250000,26.295535162526264,37.2,17.5,835.5,1927.51,22.070948893832654,195.54642195031516,-1092.01,61.180281644169916,14.466666666666667,277.4975656765291
2020,JUAZEIRO,Uva,33303,26.295535162526264,37.2,17.5,835.5,1927.51,22.070948893832654,195.54642195031516,-1092.01,61.180281644169916,14.466666666666667,277.4975656765291
2021,JUAZEIRO,Manga,322206,26.755873015873018,37.3,17.0,405.2,2155.94,22.247476958525343,201.0704761904762,-1750.74,79.87178742395203,14.858333333333334,268.1667383919403
2021,JUAZEIRO,Uva,47986,26.755873015873018,37.3,17.0,405.2,2155.94,22.247476958525343,201.0704761904762,-1750.74,79.87178742395203,14.858333333333334,268.1667383919403
2022,JUAZEIRO,Manga,362396,25.750666922683052,37.5,17.0,636.4,2008.15,22.015108806963642,189.00800307219663,-1371.75,66.01561731753971,14.783333333333333,285.80861773627225
2022,JUAZEIRO,Uva,50710,25.750666922683052,37.5,17.0,636.4,2008.15,22.015108806963642,189.00800307219663,-1371.75,66.01561731753971,14.783333333333333,285.80861773627225
2023,JUAZEIRO,Manga,377524,27.182105094726065,39.0,17.5,302.0,2250.39,22.20968701996928,206.18526113671277,-1948.3899999999999,85.6243901686446,15.383333333333333,256.4627668468198
2023,JUAZEIRO,Uva,47489,27.182105094726065,39.0,17.5,302.0,2250.39,22.20968701996928,206.18526113671277,-1948.3899999999999,85.6243901686446,15.383333333333333,256.4627668468198
2024,JUAZEIRO,Manga,417566,27.098078729452478,38.2,16.9,488.3,2194.05,21.42326566555432,205.17694475342975,-1705.75,74.79148715175415,14.991666666666667,261.7081238126956
2024,JUAZEIRO,Uva,59819,27.098078729452478,38.2,16.9,488.3,2194.05,21.42326566555432,205.17694475342975,-1705.75,74.79148715175415,14.991666666666667,261.7081238126956
2013,PETROLINA,Manga,173360,27.143073476702508,38.4,16.5,311.6,2277.21,22.44831605222734,205.71688172043008,-1965.6100000000001,84.87741689526673,15.416666666666666,255.69644787049933
