ano,mes,municipio,produto,quantidade_produzida_t,preco_medio_r$_kg,area_colhida_ha,rendimento_medio_kg_ha,temp_media_mensal,temp_maxima_mensal,temp_minima_mensal,precipitacao_acumulada_mm,eto_acumulada_mm,vento_medio_mensal,gdd_mensal,deficit_hidrico_mm,indice_stress_hidrico,amplitude_termica,dias_temp_otima_est
2013,1,JUAZEIRO,Manga,210236,1.365,8086,26000,28.26451612903226,36.1,22.5,65.0,191.02,18.98064516129032,18.26451612903226,-126.02000000000001,65.97214951313998,13.600000000000001,20.627793605716597
2013,2,JUAZEIRO,Manga,210236,1.365,8086,26000,29.59642857142857,36.8,22.3,0.1,230.28,23.467857142857145,19.59642857142857,-230.18,99.9565746048289,14.499999999999996,16.20797120942244
2013,3,JUAZEIRO,Manga,210236,1.365,8086,26000,29.55483870967742,38.4,22.3,18.2,218.93,20.067741935483877,19.55483870967742,-200.73000000000002,91.6868405426392,16.099999999999998,16.056946746533765
2013,4,JUAZEIRO,Manga,210236,1.365,8086,26000,27.566666666666663,36.4,21.3,32.4,162.28,22.01,17.566666666666663,-129.88,80.034508257333,15.099999999999998,21.536737574391104
2013,5,JUAZEIRO,Manga,210236,1.365,8086,26000,26.64516129032258,35.1,21.1,6.3,164.1,22.48709677419355,16.64516129032258,-157.79999999999998,96.16087751371116,14.0,24.068809479202205
2013,6,JUAZEIRO,Manga,210236,1.365,8086,26000,25.85666666666667,32.9,19.5,1.8,157.88,23.43,15.85666666666667,-156.07999999999998,98.85989359006841,13.399999999999999,25.55137994498412
2013,7,JUAZEIRO,Manga,210236,1.365,8086,26000,24.73225806451613,32.7,18.4,5.8,163.17,24.751612903225805,14.732258064516131,-157.36999999999998,96.44542501685359,14.300000000000004,25.10673492407084
2013,8,JUAZEIRO,Manga,210236,1.365,8086,26000,24.677419354838708,35.1,16.5,1.0,177.54,25.293548387096774,14.677419354838708,-176.54,99.43674664864255,18.6,21.497652055214242
2013,9,JUAZEIRO,Manga,210236,1.365,8086,26000,26.32,36.5,18.6,0.2,207.98,24.83,16.32,-207.78,99.90383690739493,17.9,21.468836471608633
2013,10,JUAZEIRO,Manga,210236,1.365,8086,26000,27.616129032258065,37.5,20.3,0.4,230.35,25.396774193548385,17.616129032258065,-229.95,99.8263512046885,17.2,20.162376379909503
2013,11,JUAZEIRO,Manga,210236,1.365,8086,26000,27.85666666666667,36.2,21.2,21.2,213.99,22.3,17.85666666666667,-192.79000000000002,90.09299499976635,15.000000000000004,20.943236562705817
2013,12,JUAZEIRO,Manga,210236,1.365,8086,26000,26.96451612903226,36.5,21.2,159.2,159.43,16.364516129032257,16.96451612903226,-0.2300000000000182,0.1442639402872814,15.3,22.55890737787762
2013,1,JUAZEIRO,Uva,27940,4.4435714285714285,1270,22000,28.26451612903226,36.1,22.5,65.0,191.02,18.98064516129032,18.26451612903226,-126.02000000000001,65.97214951313998,13.600000000000001,20.627793605716597
2013,2,JUAZEIRO,Uva,27940,4.4435714285714285,1270,22000,29.59642857142857,36.8,22.3,0.1,230.28,23.467857142857145,19.59642857142857,-230.18,99.9565746048289,14.499999999999996,16.20797120942244
2013,3,JUAZEIRO,Uva,27940,4.4435714285714285,1270,22000,29.55483870967742,38.4,22.3,18.2,218.93,20.067741935483877,19.55483870967742,-200.73000000000002,91.6868405426392,16.099999999999998,16.056946746533765
2013,4,JUAZEIRO,Uva,27940,4.4435714285714285,1270,22000,27.566666666666663,36.4,21.3,32.4,162.28,22.01,17.566666666666663,-129.88,80.034508257333,15.099999999999998,21.536737574391104
2013,5,JUAZEIRO,Uva,27940,4.4435714285714285,1270,22000,26.64516129032258,35.1,21.1,6.3,164.1,22.48709677419355,16.64516129032258,-157.79999999999998,96.16087751371116,14.0,24.068809479202205
2013,6,JUAZEIRO,Uva,27940,4.4435714285714285,1270,22000,25.85666666666667,32.9,19.5,1.8,157.88,23.43,15.85666666666667,-156.07999999999998,98.85989359006841,13.399999999999999,25.55137994498412
2013,7,JUAZEIRO,Uva,27940,4.4435714285714285,1270,22000,24.73225806451613,32.7,18.4,5.8,163.17,24.751612903225805,14.732258064516131,-157.36999999999998,96.44542501685359,14.300000000000004,25.10673492407084
2013,8,JUAZEIRO,Uva,27940,4.4435714285714285,1270,22000,24.677419354838708,35.1,16.5,1.0,177.54,25.293548387096774,14.677419354838708,-176.54,99.43674664864255,18.6,21.497652055214242
2013,9,JUAZEIRO,Uva,27940,4.4435714285714285,1270,22000,26.32,36.5,18.6,0.2,207.98,24.83,16.32,-207.78,99.90383690739493,17.9,21.468836471608633
2013,10,JUAZEIRO,Uva,27940,4.4435714285714285,1270,22000,27.616129032258065,37.5,20.3,0.4,230.35,25.396774193548385,17.616129032258065,-229.95,99.8263512046885,17.2,20.162376379909503
2013,11,JUAZEIRO,Uva,27940,4.4435714285714285,1270,22000,27.85666666666667,36.2,21.2,21.2,213.99,22.3,17.85666666666667,-192.79000000000002,90.09299499976635,15.000000000000004,20.943236562705817
2013,12,JUAZEIRO,Uva,27940,4.4435714285714285,1270,22000,26.96451612903226,36.5,21.2,159.2,159.43,16.364516129032257,16.96451612903226,-0.2300000000000182,0.1442639402872814,15.3,22.55890737787762
2014,1,JUAZEIRO,Manga,55380,1.4449999999999998,2130,26000,27.91290322580645,35.7,20.9,0.8,227.58,21.93548387096774,17.91290322580645,-226.78,99.64847526144652,14.800000000000004,20.922512992919952
2014,2,JUAZEIRO,Manga,55380,1.4449999999999998,2130,26000,27.564285714285717,35.3,21.8,23.0,176.43,21.99285714285714,17.564285714285717,-153.43,86.96366831037805,13.499999999999996,22.56762340250526
2014,3,JUAZEIRO,Manga,55380,1.4449999999999998,2130,26000,27.73548387096774,35.8,21.0,40.5,186.18,20.725806451612904,17.73548387096774,-145.68,78.24685787947148,14.799999999999997,21.34388205095791
2014,4,JUAZEIRO,Manga,55380,1.4449999999999998,2130,26000,26.77,35.2,20.8,82.19999999999999,147.63,19.25,16.77,-65.43,44.3202601097338,14.400000000000002,23.55550872132814
2014,5,JUAZEIRO,Manga,55380,1.4449999999999998,2130,26000,25.580645161290324,33.0,19.2,3.3,148.34,22.396774193548385,15.580645161290324,-145.04,97.77538088175812,13.8,25.410647073685794
2014,6,JUAZEIRO,Manga,55380,1.4449999999999998,2130,26000,24.83333333333333,33.2,19.3,1.7,143.88,25.24333333333333,14.833333333333329,-142.18,98.81845982763414,13.900000000000002,25.480133078515284
2014,7,JUAZEIRO,Manga,55380,1.4449999999999998,2130,26000,23.94516129032258,31.4,18.8,24.6,143.64,25.80322580645161,13.94516129032258,-119.03999999999999,82.87385129490391,12.599999999999998,26.025049836561394
2014,8,JUAZEIRO,Manga,55380,1.4449999999999998,2130,26000,23.98064516129032,32.8,17.9,1.1,178.85,25.496774193548383,13.980645161290319,-177.75,99.38495946323735,14.899999999999999,24.12982258741975
2014,9,JUAZEIRO,Manga,55380,1.4449999999999998,2130,26000,26.41,37.2,18.2,1.2000000000000002,212.61,25.146666666666665,16.41,-211.41000000000003,99.43558628474672,19.000000000000004,20.595595555430894
2014,10,JUAZEIRO,Manga,55380,1.4449999999999998,2130,26000,27.106451612903225,35.8,19.0,0.5,224.03,26.18387096774193,17.106451612903225,-223.53,99.77681560505289,16.799999999999997,21.277431018857605
2014,11,JUAZEIRO,Manga,55380,1.4449999999999998,2130,26000,27.466666666666665,36.3,21.0,57.7,183.46,20.96,17.466666666666665,-125.76,68.54900250735855,15.299999999999997,21.61945646695014
2014,12,JUAZEIRO,Manga,55380,1.4449999999999998,2130,26000,26.94193548387097,34.6,20.8,53.0,186.28,20.56451612903226,16.94193548387097,-133.28,71.54820700021473,13.8,23.705879777332925
2014,1,JUAZEIRO,Uva,39400,4.574166666666667,1576,25000,27.91290322580645,35.7,20.9,0.8,227.58,21.93548387096774,17.91290322580645,-226.78,99.64847526144652,14.800000000000004,20.922512992919952
2014,2,JUAZEIRO,Uva,39400,4.574166666666667,1576,25000,27.564285714285717,35.3,21.8,23.0,176.43,21.99285714285714,17.564285714285717,-153.43,86.96366831037805,13.499999999999996,22.56762340250526
2014,3,JUAZEIRO,Uva,39400,4.574166666666667,1576,25000,27.73548387096774,35.8,21.0,40.5,186.18,20.725806451612904,17.73548387096774,-145.68,78.24685787947148,14.799999999999997,21.34388205095791
2014,4,JUAZEIRO,Uva,39400,4.574166666666667,1576,25000,26.77,35.2,20.8,82.19999999999999,147.63,19.25,16.77,-65.43,44.3202601097338,14.400000000000002,23.55550872132814
2014,5,JUAZEIRO,Uva,39400,4.574166666666667,1576,25000,25.580645161290324,33.0,19.2,3.3,148.34,22.396774193548385,15.580645161290324,-145.04,97.77538088175812,13.8,25.410647073685794
2014,6,JUAZEIRO,Uva,39400,4.574166666666667,1576,25000,24.83333333333333,33.2,19.3,1.7,143.88,25.24333333333333,14.833333333333329,-142.18,98.81845982763414,13.900000000000002,25.480133078515284
2014,7,JUAZEIRO,Uva,39400,4.574166666666667,1576,25000,23.94516129032258,31.4,18.8,24.6,143.64,25.80322580645161,13.94516129032258,-119.03999999999999,82.87385129490391,12.599999999999998,26.025049836561394
2014,8,JUAZEIRO,Uva,39400,4.574166666666667,1576,25000,23.98064516129032,32.8,17.9,1.1,178.85,25.496774193548383,13.980645161290319,-177.75,99.38495946323735,14.899999999999999,24.12982258741975
2014,9,JUAZEIRO,Uva,39400,4.574166666666667,1576,25000,26.41,37.2,18.2,1.2000000000000002,212.61,25.146666666666665,16.41,-211.41000000000003,99.43558628474672,19.000000000000004,20.595595555430894
2014,10,JUAZEIRO,Uva,39400,4.574166666666667,1576,25000,27.106451612903225,35.8,19.0,0.5,224.03,26.18387096774193,17.106451612903225,-223.53,99.77681560505289,16.799999999999997,21.277431018857605
2014,11,JUAZEIRO,Uva,39400,4.574166666666667,1576,25000,27.466666666666665,36.3,21.0,57.7,183.46,20.96,17.466666666666665,-125.76,68.54900250735855,15.299999999999997,21.61945646695014
2014,12,JUAZEIRO,Uva,39400,4.574166666666667,1576,25000,26.94193548387097,34.6,20.8,53.0,186.28,20.56451612903226,16.94193548387097,-133.28,71.54820700021473,13.8,23.705879777332925
