municipio,ano,mes,temp_media_mensal,temp_maxima_mensal,temp_minima_mensal,precipitacao_acumulada_mm,eto_acumulada_mm,vento_medio_mensal
Juazeiro,2013,1,28.26451612903226,36.1,22.5,65.0,191.02,18.980645161290322
Juazeiro,2013,2,29.59642857142857,36.8,22.3,0.1,230.28,23.467857142857145
Juazeiro,2013,3,29.55483870967742,38.4,22.3,18.2,218.93,20.067741935483873
Juazeiro,2013,4,27.566666666666666,36.4,21.3,32.4,162.28,22.009999999999998
Juazeiro,2013,5,26.64516129032258,35.1,21.1,6.3,164.1,22.48709677419355
Juazeiro,2013,6,25.85666666666667,32.9,19.5,1.8,157.88,23.43
Juazeiro,2013,7,24.73225806451613,32.7,18.4,5.8,163.17,24.751612903225805
Juazeiro,2013,8,24.677419354838708,35.1,16.5,1.0,177.54,25.293548387096774
Juazeiro,2013,9,26.32,36.5,18.6,0.2,207.98,24.83
Juazeiro,2013,10,27.616129032258065,37.5,20.3,0.4,230.35,25.396774193548385
Juazeiro,2013,11,27.85666666666667,36.2,21.2,21.2,213.99,22.3
Juazeiro,2013,12,26.96451612903226,36.5,21.2,159.2,159.43,16.364516129032257
Juazeiro,2014,1,27.91290322580645,35.7,20.9,0.8,227.58,21.93548387096774
Juazeiro,2014,2,27.564285714285713,35.3,21.8,23.0,176.43,21.99285714285714
Juazeiro,2014,3,27.73548387096774,35.8,21.0,40.5,186.18,20.725806451612904
Juazeiro,2014,4,26.77,35.2,20.8,82.19999999999999,147.63,19.25
Juazeiro,2014,5,25.580645161290324,33.0,19.2,3.3,148.34,22.396774193548385
Juazeiro,2014,6,24.833333333333332,33.2,19.3,1.7,143.88,25.243333333333332
Juazeiro,2014,7,23.94516129032258,31.4,18.8,24.599999999999998,143.64000000000001,25.80322580645161
Juazeiro,2014,8,23.980645161290322,32.8,17.9,1.1,178.85,25.496774193548386
Juazeiro,2014,9,26.41,37.2,18.2,1.2000000000000002,212.61,25.146666666666665
