data,temp_media,temp_max,temp_min,precipitacao,evapotranspiracao,vento_max,municipio
2013-01-01,28.6,34.6,23.0,0.0,7.34,22.7,Petrolina
2013-01-02,29.0,34.2,24.1,0.0,7.08,20.5,Petrolina
2013-01-03,28.6,33.3,24.2,0.0,6.34,19.1,Petrolina
2013-01-04,28.5,33.7,23.7,3.7,7.19,21.6,Petrolina
2013-01-05,26.9,32.2,22.8,5.8,4.65,19.5,Petrolina
2013-01-06,27.9,32.4,23.4,0.0,6.48,19.8,Petrolina
2013-01-07,29.5,35.7,24.1,0.0,7.77,22.4,Petrolina
2013-01-08,29.8,35.6,23.9,0.0,8.32,25.3,Petrolina
2013-01-09,29.8,36.1,23.1,0.0,8.76,24.9,Petrolina
2013-01-10,29.7,35.9,23.3,0.0,8.13,22.8,Petrolina
2013-01-11,30.1,36.1,23.4,0.0,8.69,20.6,Petrolina
2013-01-12,30.0,36.0,24.5,0.0,8.47,27.3,Petrolina
2013-01-13,27.8,32.2,23.1,0.4,5.92,27.4,Petrolina
2013-01-14,29.5,35.4,23.8,0.0,7.76,24.1,Petrolina
2013-01-15,29.2,34.6,23.9,0.0,6.51,24.4,Petrolina
2013-01-16,29.7,33.6,25.8,0.0,5.07,18.0,Petrolina
2013-01-17,29.4,33.8,24.4,2.4,5.43,17.2,Petrolina
2013-01-18,26.8,31.1,23.5,3.2,4.03,10.7,Petrolina
2013-01-19,25.8,29.7,23.7,5.7,3.18,14.4,Petrolina
2013-01-20,26.7,30.5,22.7,4.1,4.16,11.8,Petrolina
2013-01-21,26.4,30.9,23.3,13.7,4.17,12.5,Petrolina
2013-01-22,25.4,30.0,22.6,23.2,3.51,14.0,Petrolina
2013-01-23,26.2,30.3,23.3,0.9,4.31,19.9,Petrolina
2013-01-24,26.9,30.8,23.3,0.0,5.68,16.3,Petrolina
2013-01-25,27.6,32.5,23.7,0.0,5.45,13.0,Petrolina
2013-01-26,27.2,31.5,24.5,1.2,3.6,12.6,Petrolina
2013-01-27,28.3,32.6,24.4,0.5,4.99,9.5,Petrolina
2013-01-28,28.6,33.9,24.8,0.2,6.25,17.2,Petrolina
2013-01-29,28.3,33.2,22.9,0.0,6.6,21.0,Petrolina
2013-01-30,28.5,33.8,22.5,0.0,7.18,19.4,Petrolina
2013-01-31,29.5,35.3,23.7,0.0,8.02,18.5,Petrolina
2013-02-01,29.3,34.7,23.3,0.0,7.9,19.2,Petrolina
2013-02-02,29.2,35.4,22.9,0.0,8.39,24.3,Petrolina
2013-02-03,29.9,36.4,23.1,0.0,9.13,23.9,Petrolina
2013-02-04,30.0,36.5,23.1,0.0,8.94,23.3,Petrolina
2013-02-05,30.0,36.4,23.5,0.0,8.88,21.8,Petrolina
2013-02-06,29.2,33.8,23.3,0.0,7.85,25.9,Petrolina
2013-02-07,29.0,33.9,24.0,0.0,7.15,27.0,Petrolina
2013-02-08,29.4,36.5,23.7,0.0,8.71,27.0,Petrolina
2013-02-09,29.5,35.4,23.9,0.1,8.51,27.1,Petrolina
2013-02-10,29.0,35.9,22.3,0.0,9.01,26.4,Petrolina
2013-02-11,28.9,35.6,22.4,0.0,9.09,23.4,Petrolina
2013-02-12,29.4,36.1,22.6,0.0,9.25,23.7,Petrolina
2013-02-13,29.4,36.0,22.8,0.0,9.01,24.0,Petrolina
2013-02-14,29.4,35.3,23.3,0.0,7.64,22.9,Petrolina
2013-02-15,29.8,35.0,24.0,0.0,7.44,20.8,Petrolina
2013-02-16,29.5,35.3,23.6,0.0,7.88,21.5,Petrolina
2013-02-17,29.3,34.0,24.2,0.0,7.11,18.8,Petrolina
2013-02-18,29.8,35.3,24.5,0.0,8.43,21.4,Petrolina
2013-02-19,29.5,35.7,22.9,0.0,8.97,25.0,Petrolina
2013-02-20,28.9,33.9,23.9,0.0,7.21,24.7,Petrolina
2013-02-21,28.6,33.5,23.8,0.0,6.61,26.6,Petrolina
2013-02-22,29.7,36.5,23.1,0.0,8.5,23.1,Petrolina
2013-02-23,29.8,35.4,24.4,0.0,7.81,24.0,Petrolina
2013-02-24,29.9,35.7,24.0,0.0,8.98,24.7,Petrolina
2013-02-25,29.7,35.7,24.0,0.0,7.4,24.4,Petrolina
2013-02-26,30.2,36.4,23.8,0.0,7.68,23.0,Petrolina
2013-02-27,31.1,36.8,24.5,0.0,8.56,19.2,Petrolina
2013-02-28,31.4,36.8,25.2,0.0,8.25,20.0,Petrolina
2013-03-01,30.9,37.2,24.1,0.0,9.69,28.5,Petrolina
2013-03-02,29.8,36.4,23.0,0.0,9.59,27.1,Petrolina
2013-03-03,29.2,34.8,23.0,0.0,8.65,28.0,Petrolina
2013-03-04,29.2,36.5,22.3,0.0,8.74,26.1,Petrolina
2013-03-05,29.8,35.7,24.8,0.6,7.2,22.1,Petrolina
2013-03-06,30.7,37.2,23.9,0.0,8.78,20.0,Petrolina
2013-03-07,30.6,36.8,24.0,0.0,8.92,19.9,Petrolina
2013-03-08,30.0,36.8,23.2,0.0,8.96,22.4,Petrolina
2013-03-09,30.1,36.5,23.5,0.0,8.41,19.2,Petrolina
2013-03-10,31.2,36.6,24.9,0.0,7.54,21.5,Petrolina
